# Pathway	1136_F-BL_CP04543-B_L001_Abundance	1136_FV-W4_CP04543_L007_Abundance	1137__FV-W4_CP04543_L007_Abundance	1138_F-BL_CP04543-B_L001_Abundance	1138__FV-W4_CP04543_L007_Abundance	1139__FV-W4_CP04543_L007_Abundance	1140_F-BL_CP04543-B_L001_Abundance	1140__FV-W4_CP04543_L007_Abundance	1141__FV-W4_CP04543_L007_Abundance	1142_F-BL_CP04543-B_L001_Abundance	1142__FV-W4_CP04543_L007_Abundance	1143__FV-W4_CP04543_L007_Abundance	1144_F-BL_CP04543-B_L001_Abundance	1144__FV-W4_CP04543_L007_Abundance	1145__FV-W4_CP04543_L007_Abundance	1146_F-BL_CP04543-B_L001_Abundance	1146__FT-W4_CP04543_L007_Abundance	1147__FT-W4_CP04543_L007_Abundance	1148_F-BL_CP04543-B_L001_Abundance	1148_FT-W4_CP04543_L007_Abundance	1149_FT-W4_CP04543_L007_Abundance	1150_F-BL_CP04543-B_L001_Abundance	1150_FT-W4_CP04543_L007_Abundance	1151_FT-W4_CP04543_L007_Abundance	1152_F-BL_CP04543-B_L001_Abundance	1152_FT-W4_CP04543_L007_Abundance	1153_FT-W4_CP04543_L007_Abundance	1154_F-BL_CP04543-B_L001_Abundance	1154_FT-W4_CP04543_L007_Abundance	1155_FT-W4_CP04543_L007_Abundance	1156_M-BL_CP04543-B_L001_Abundance	1156_MSV-W4_CP04543_L007_Abundance	1157_MSV-W4_CP04543_L007_Abundance	1158_MSV-W4_CP04543_L007_Abundance	1159_MSV-W4_CP04543_L007_Abundance	1160_M-BL_CP04543-B_L001_Abundance	1160_MSV-W4_B_CP04543_L001_Abundance	1161_MSV-W4_CP04543_L007_Abundance	1162_MSV-W4_CP04543_L007_Abundance	1163_MSV-W4_CP04543_L007_Abundance	1164_M-BL_CP04543-B_L001_Abundance	1164_MSV-W4_CP04543_L007_Abundance	1165_MSV-W4_CP04543_L007_Abundance	1166_M_O_V-W4_CP04543_L007_Abundance	1167_M_O_V-W4_CP04543_L007_Abundance	1168_M-BL_CP04543-B_L001_Abundance	1168_M_O_V-W4_CP04543_L007_Abundance	1169_M_O_V-W4_CP04543_L007_Abundance	1170_M-BL_CP04543-B_L001_Abundance	1170_M_O_V-W4_CP04543_L007_Abundance	1171_M_O_V-W4_CP04543_L007_Abundance	1172_M_O_V-W4_CP04543_L007_Abundance	1173_M_O_V-W4_CP04543_L007_Abundance	1174_M-BL_CP04543-B_L001_Abundance	1174_M_O_V-W4_CP04543_L007_Abundance	1176_M_ORX_E-W4_CP04543_L007_Abundance	1177_M_ORX_E-W4_CP04543_L007_Abundance	1178_M-BL_CP04543-B_L001_Abundance	1178_M_ORX_E-W4_CP04543_L007_Abundance	1179_M_ORX_E-W4_CP04543_L007_Abundance	1180_M-BL_CP04543-B_L001_Abundance	1180_M_ORX_E-W4_CP04543_L007_Abundance	1181_M_ORX_E-W4_CP04543_L007_Abundance	1182_M-BL_CP04543-B_L001_Abundance	1182_M_ORX_E-W4_CP04543_L007_Abundance	1183_M_ORX_E-W4_CP04543_L007_Abundance	1184_M-BL_CP04543-B_L001_Abundance	1184_M_ORX_E-W4_CP04543_L007_Abundance	1185_M_ORX_E-W4_CP04543_L007_Abundance
1CMET2-PWY: folate transformations III (E. coli)	0.00656849	0.00417449	0.00109179	0.00547225	0.000988652	0.00266119	0.00920477	0.00212866	0	0.00922905	0	0.000699812	0.0102759	0.0114571	0.002489	0.0063422	0	0.00258354	0.00434282	0.00416643	0	0.00382808	0.00470477	0.00289102	0.00933367	0.00423238	0.00362534	0.00789416	0.001159	0.00196704	0.009027	0.00329139	0	0.00144864	0	0.00719673	0.00145762	0.00304602	0.00680752	0.00220325	0.0112716	0.00349476	0.00594897	0.00635788	0.00552315	0.00789726	0.00559462	0.00290595	0.00926265	0.00604417	0.00599786	0.00489636	0.00520667	0.0104249	0.00333222	0.00461436	0.00389357	0.00831224	0.00358136	0.00166908	0.00818974	0.00200447	0.00133567	0.0110817	0.00314537	0.00405003	0.0119979	0.000917044	0.00574621
1CMET2-PWY: folate transformations III (E. coli)|g__Akkermansia.s__Akkermansia_muciniphila	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00139544	0	0	0	0.00128146	0	0	0	0	0	0	0	0	0	0.00077846	0	0.000590876	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1CMET2-PWY: folate transformations III (E. coli)|g__Prevotella.s__Prevotella_sp_MGM1	0.00169843	0	0	0.00113399	0	0	0.00339368	0	0	0.00330553	0	0	0.00306269	0.00136881	0	0.00114833	0	0.00111568	0	0.00188944	0	0.000669393	0.00174546	0.000546944	0.00274225	0	0	0.00212048	0.000459069	0	0.00326379	0	0	0	0	0.00221831	0	0	0	0	0.00501265	0	0	0.00121913	0.00156544	0.0036422	0	0.000659844	0.00373201	0	0.00121365	0.00122884	0	0.00358504	0	0.000892923	0.000482604	0.00225547	0.000539875	0	0.00255614	0	0	0.00426473	0	0	0.00406701	0	0.00105895
1CMET2-PWY: folate transformations III (E. coli)|unclassified	0.00200351	0.00165403	0	0.00193358	0.000879419	0.000906203	0.00241015	0	0	0.00121682	0	0.00063386	0.00405845	0.00892143	0	0.00391569	0	0	0.00177671	0	0	0.00163017	0	0	0.00238277	0	0.00213569	0.00320759	0	0	0.00238771	0.00149734	0	0	0	0.000844101	0	0.0017946	0.0015324	0.00201637	0.00120997	0	0.00141591	0.00120227	0.000950233	0	0.00286419	0	0	0.00233726	0	0.00125925	0.0013597	0.00169035	0.00132642	0.0013042	0	0	0	0.00129335	0.0032159	0.000547211	0	0.00248987	0	0.000639428	0.00372178	0	0.00141638
ALLANTOINDEG-PWY: superpathway of allantoin degradation in yeast	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000213743	0	0	0	0	0
ANAEROFRUCAT-PWY: homolactic fermentation	0.00238275	0.00531573	0.00822642	0.00390596	0.00582579	0.00800746	0.00443523	0.00869446	0.00817832	0.00591714	0.00495296	0.00934275	0.00784201	0	0.00557043	0.00327582	0.00428439	0.00595736	0.00497574	0.00880263	0	0.00762642	0.00719498	0.00731429	0.0016055	0.00755727	0.00469174	0.00742488	0.00572957	0.00695879	0.00378586	0	0.00241549	0.0083018	0	0.0040896	0	0	0.00494221	0.00393749	0.00272374	0.00194699	0.00192757	0.00567486	0.00627652	0.00576321	0.00390615	0.00566305	0.00439083	0.0108427	0.00538892	0.00706236	0.00817622	0.00397723	0.004972	0.00903069	0.00574215	0.0055474	0.0081689	0.00443752	0.0012597	0.00704651	0.00295913	0.00786932	0.00822854	0.00738096	0.00552551	0.00552024	0.00824055
ANAEROFRUCAT-PWY: homolactic fermentation|unclassified	0.000722704	0.00167963	0.00264098	0.000636246	0.00149467	0	0.000572697	0.00191711	0	0.00098492	0	0	0.00334142	0	0	0.00091684	0.00331031	0.000645093	0.00264014	0	0	0.00236804	0	0.00176117	0	0.00160319	0.00141469	0	0.00201822	0.00256547	0	0	0.00199802	0	0	0	0	0	0.00202728	0	0	0.0016168	0	0.00178525	0.00169404	0	0	0	0	0	0.00102343	0	0.00243602	0	0.00118455	0	0	0	0	0	0	0	0	0.000866684	0	0	0.000732698	0	0.00137701
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)	0.0151283	0.010351	0.0195975	0.0144967	0.0152526	0.0205133	0.0168448	0.0187018	0.0183961	0.0177268	0.0166852	0.0163262	0.0144261	0.0172026	0.019082	0.0150344	0.0194279	0.0173768	0.0135407	0.0206941	0.0164814	0.0182644	0.0199301	0.0186425	0.0169762	0.0170102	0.015638	0.0178147	0.0163569	0.0214158	0.0171205	0.00850434	0.0162722	0.0188733	0.0177378	0.0160429	0.0149262	0.0118477	0.0165427	0.0177603	0.0121696	0.00589951	0.0138645	0.0170855	0.0171994	0.0174945	0.0158492	0.0175522	0.0165128	0.0203999	0.0159968	0.0175412	0.0162162	0.013572	0.0169525	0.0176225	0.01628	0.0163905	0.0164474	0.0196986	0.00957245	0.0174667	0.0175821	0.0142792	0.0186009	0.0162071	0.0152714	0.0191535	0.0141875
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|g__Staphylococcus.s__Staphylococcus_xylosus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000512202	0	0	0	0	0	0	0	0	0	0
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|unclassified	0.00746474	0.0069032	0.00903351	0.00497682	0.00508497	0.00672435	0.00664829	0.00536282	0	0.0069359	0.00336835	0.00128824	0.00760397	0.0152361	0.00330185	0.00815207	0.0101925	0.00385854	0.0075882	0.00662529	0.0113024	0.00715929	0	0.00443032	0.0112309	0.00480784	0.00615177	0.00832946	0.00792951	0.00882411	0.00724856	0	0.00629838	0	0.00551248	0.00330584	0.00344139	0.00784482	0.00435862	0.00472573	0.005391	0.00341906	0.00381992	0.00504571	0.00324774	0.00600576	0.00440984	0.00531137	0.00204314	0.00578369	0.00222249	0.0029996	0.00472038	0.00297314	0.00319618	0.00134431	0.000802511	0.00433377	0	0.00171565	0.00377461	0.00101561	0.00219484	0.00428274	0.0030617	0.000854461	0.00689645	0	0.00291297
